"Category
(類別)","Summary
(概要)","Expect Result
(預期結果)",function_name,dependency,status ,"Note
(註解)"
正向,廣宣燈箱(左右切換),可正常切換,test_ad_banner_switch_left_right,,,
正向,廣宣燈箱(下方切換),可正常切換,test_ad_banner_switch_bottom,,,
正向,廣宣燈箱(點擊),跳轉至正確廣宣,test_ad_banner_click_redirect,,,
正向,活動宣傳縮圖區(圖片),顯示正常,test_event_thumbnails_image_display,,,
正向,活動宣傳縮圖區(文字及日期),顯示正常,test_event_thumbnails_text_display,,,
正向,活動宣傳縮圖區(點擊),跳轉至該活動頁,test_event_thumbnails_click_redirect,,,
正向,最新消息區,分類為全部、活動、更新、重要四種頁籤，下方按照頁籤呈現日期、頁籤、活動名稱,test_news_tabs_display_correct,,,
正向,最新消息區(點擊頁籤),可正常切換分類,test_news_tabs_switch_normal,,,
正向,最新消息區(點擊消息),可正常跳轉至該消息頁,test_news_item_click_redirect,,,
正向,最新消息區(下方頁碼),可正常切換分頁,test_news_pagination_switch_normal,,,
正向,最新消息區(切換箭頭),可正常切換分頁,test_news_arrow_switch_normal,,,
正向,職業介紹區,顯示正常,test_job_intro_display_normal,,,
正向,職業介紹區(切換職業頁籤),可正常切換至對應的職業頁籤,test_job_intro_tab_switch_normal,,,
正向,職業介紹區-人物縮圖(左右切換),可正常切換,test_job_intro_thumbnail_switch,,,
正向,職業介紹區-人物縮圖(點擊),可正常出現角色介紹彈窗,test_job_intro_thumbnail_click_popup,,,
正向,職業介紹區-角色介紹彈窗(關閉),可正常關閉,test_job_intro_popup_close_normal,,,
正向,職業介紹區-角色介紹彈窗(左右切換),可正常切換,test_job_intro_popup_switch_left_right,,,
正向,職業介紹區-角色介紹彈窗(下方左右切換),可正常切換,test_job_intro_popup_switch_bottom,,,
正向,職業介紹區-角色介紹彈窗(文案內容),顯示正常,test_job_intro_popup_content_display,,,
正向,系統介紹,顯示正常,test_system_intro_display_normal,,,
正向,系統介紹(左右切換),可正常切換,test_system_intro_switch_left_right,,,
正向,系統介紹(點擊縮圖),出現系統介紹彈窗,test_system_intro_thumbnail_click_popup,,,
正向,系統介紹彈窗(多頁面的系統介紹，上一頁、下一頁),可正常切換,test_system_intro_popup_page_switch,,,
正向,系統介紹彈窗(關閉),可正常關閉,test_system_intro_popup_close_normal,,,
正向,系統介紹彈窗(文案),顯示正常,test_system_intro_popup_content_display,,,
正向,多媒體園地,顯示正常,test_media_zone_display_normal,,,
正向,多媒體園地(hover效果),切換投稿項目,test_media_zone_hover_switch,,,
正向,多媒體園地(內頁頁籤切換),可正常切換預設圖片,test_media_zone_tab_switch_normal,,,
正向,多媒體園地(玩家創作),可正常跳轉至玩家創作區,test_media_zone_player_works_redirect,,,
正向,玩家創作-點擊圖片縮圖,可展開彈窗,test_player_works_thumbnail_click_popup,,,
正向,玩家創作-關閉彈窗,可正常關閉,test_player_works_popup_close_normal,,,
正向,玩家創作-點擊圖片縮圖-下載圖片,依照設置可另開分頁或下載壓縮檔,test_player_works_thumbnail_download,,,
正向,多媒體園地(樂曲),可正常跳轉至樂曲區,test_media_zone_music_redirect,,,
正向,樂曲-播放,可正常播放,test_music_play_normal,,,
正向,樂曲-停止,可正常停止,test_music_stop_normal,,,
正向,樂曲-下載,可正常下載,test_music_download_normal,,,
正向,多媒體園地(美術圖),可正常跳轉至美術圖區,test_media_zone_art_redirect,,,
正向,美術圖-點擊圖片縮圖,可展開彈窗,test_art_thumbnail_click_popup,,,
正向,美術圖-關閉彈窗,可正常關閉,test_art_popup_close_normal,,,
正向,美術圖-點擊圖片縮圖-下載圖片,依照設置可另開分頁或下載壓縮檔,test_art_thumbnail_download,,,
手機,,,test_home_mobile.py,,,
正向,主視覺,顯示正常,test_mobile_main_visual_display_normal,,,
正向,左上角新楓之谷LOGO,顯示正常,test_mobile_maple_story_logo_display_normal,,,
正向,右下角小幫手浮水印(顯示),顯示正確,test_mobile_helper_watermark_display_correct,,,
正向,右下角小幫手浮水印(點擊),連結正常,test_mobile_helper_watermark_click_redirect,,,
正向,右下角小幫手浮水印(跟隨),隨頁面上下滑動跟隨,test_mobile_helper_watermark_scroll_follow,,,
正向,右下角小幫手浮水印(移動),可長按移動位置,test_mobile_helper_watermark_drag_movable,,,
正向,Beanfun Icon,可跳轉至Beanfun頁面,test_mobile_beanfun_icon_redirect,,,
正向,Facebook Icon,可跳轉至官方臉書頁面,test_mobile_facebook_icon_redirect,,,
正向,Instagram Icon,可跳轉至官方IG頁面,test_mobile_instagram_icon_redirect,,,
正向,廣宣燈箱(顯示),顯示正常,test_mobile_ad_banner_display_normal,,,
正向,廣宣燈箱(左右切換),可正常切換,test_mobile_ad_banner_switch_left_right,,,
正向,廣宣燈箱(點擊),跳轉至正確廣宣,test_mobile_ad_banner_click_redirect,,,
正向,最新消息區,分類為全部、活動、更新、重要四種頁籤，下方按照頁籤呈現日期、頁籤、活動名稱,test_mobile_news_tabs_display_correct,,,
正向,最新消息區(點擊頁籤),可正常切換分類,test_mobile_news_tabs_switch_normal,,,
正向,最新消息區(點擊消息),可正常跳轉至該消息頁,test_mobile_news_item_click_redirect,,,
正向,最新消息區(下方頁碼),可正常切換分頁,test_mobile_news_pagination_switch_normal,,,
正向,最新消息區(切換箭頭),可正常切換分頁,test_mobile_news_arrow_switch_normal,,,
Content,,,,,,
PC,,,,,,
※Header,,,test_content_pc_header.py,,,
正向,菇菇寶貝icon,可連結至正式區新楓之谷官網首頁,test_gugu_icon_redirect_to_home,,,
正向,左上角新楓之谷字樣,可連結至正式區新楓之谷官網首頁,test_maple_story_text_redirect_to_home,,,
正向,回官網,可連結至正式區新楓之谷官網首頁,test_back_to_official_redirect,,,
正向,官方粉絲團,可連結至正式區FB新楓之谷台灣官方粉絲團 ,test_official_fan_page_redirect,,,
正向,遊戲下載,可引導至正式區下載專區,test_game_download_redirect_to_download,,,
正向,申請帳號,可引導至正式區註冊帳號頁面,test_register_account_redirect_to_register,,,
※最新消息,,,test_content_pc_news.py,,,
正向,點擊全部,錨點至全部的頁籤,test_news_all_tab_anchor,,,
正向,全部(最新消息),下方按照頁籤呈現日期、頁籤、活動名稱,test_news_all_display_correct,,,
正向,全部(點擊消息),可正常跳轉至該消息頁,test_news_all_item_click_redirect,,,
正向,全部(消息內容-點擊回列表),可成功回到列表頁,test_news_all_back_to_list,,,
正向,全部(下方頁碼),可正常切換分頁,test_news_all_pagination_switch_normal,,,
正向,全部(切換箭頭),可正常切換分頁,test_news_all_arrow_switch_normal,,,
正向,點擊活動,錨點至活動的頁籤,test_news_event_tab_anchor,,,
正向,活動(最新消息),下方按照頁籤呈現日期、頁籤、活動名稱,test_news_event_display_correct,,,
正向,活動(點擊消息),可正常跳轉至該消息頁,test_news_event_item_click_redirect,,,
正向,活動(消息內容-點擊回列表),可成功回到列表頁,test_news_event_back_to_list,,,
正向,活動(下方頁碼),可正常切換分頁,test_news_event_pagination_switch_normal,,,
正向,活動(切換箭頭),可正常切換分頁,test_news_event_arrow_switch_normal,,,
正向,點擊更新,錨點至更新的頁籤,test_news_update_tab_anchor,,,
正向,更新(最新消息),下方按照頁籤呈現日期、頁籤、活動名稱,test_news_update_display_correct,,,
正向,更新(點擊消息),可正常跳轉至該消息頁,test_news_update_item_click_redirect,,,
正向,更新(消息內容-點擊回列表),可成功回到列表頁,test_news_update_back_to_list,,,
正向,更新(下方頁碼),可正常切換分頁,test_news_update_pagination_switch_normal,,,
正向,更新(切換箭頭),可正常切換分頁,test_news_update_arrow_switch_normal,,,
正向,點擊重要,錨點至重要的頁籤,test_news_important_tab_anchor,,,
正向,重要(最新消息),下方按照頁籤呈現日期、頁籤、活動名稱,test_news_important_display_correct,,,
正向,重要(點擊消息),可正常跳轉至該消息頁,test_news_important_item_click_redirect,,,
正向,重要(消息內容-點擊回列表),可成功回到列表頁,test_news_important_back_to_list,,,
正向,重要(下方頁碼),可正常切換分頁,test_news_important_pagination_switch_normal,,,
正向,重要(切換箭頭),可正常切換分頁,test_news_important_arrow_switch_normal,,,
正向,點擊合作聯繫,開啟郵件系統至maplestoryevent@gamania.com,test_contact_collaboration_email,,,
※楓葉圖書,,,test_content_pc_books.py,,,
正向,點擊職業介紹,錨點至職業介紹,test_job_intro_anchor,,,
正向,點擊系統介紹,錨點至系統介紹,test_system_intro_anchor,,,
正向,點擊多媒體園地,錨點至多媒體園地,test_media_zone_anchor,,,
正向,點擊機率型道具說明,引導至機率型道具說明頁面,test_probability_item_redirect,,,
※下載專區,,,test_content_pc_download.py,,,
正向,點擊遊戲主程式,跳轉至遊戲主程式下載專區,test_game_main_download_redirect,,,
正向,遊戲主程式下載專區(文案排版),顯示正常,test_game_main_download_content_display,,,
正向,遊戲主程式下載專區(點擊下載),可正常下載,test_game_main_download_button,,,
正向,點擊遊戲更新檔案,跳轉至遊戲更新檔案下載專區,test_game_update_download_redirect,,,
正向,遊戲更新檔案下載專區(文案排版),顯示正常,test_game_update_download_content_display,,,
正向,遊戲更新檔案下載專區(點擊下載),可正常下載,test_game_update_download_button,,,
正向,點擊完整安裝說明,出現完整安裝說明介紹彈窗,test_full_install_guide_popup,,,
正向,完整安裝說明介紹彈窗(關閉),可正常關閉,test_full_install_guide_popup_close,,,
正向,完整安裝說明介紹彈窗(左右切換),可正常切換,test_full_install_guide_popup_switch,,,
正向,完整安裝說明介紹彈窗(文案內容),內容正常,test_full_install_guide_popup_content,,,
正向,點擊手動更新說明,出現手動更新說明介紹彈窗,test_manual_update_guide_popup,,,
正向,手動更新說明介紹彈窗(關閉),可正常關閉,test_manual_update_guide_popup_close,,,
正向,手動更新說明介紹彈窗(左右切換),可正常切換,test_manual_update_guide_popup_switch,,,
正向,手動更新說明介紹彈窗(文案內容),內容正常,test_manual_update_guide_popup_content,,,
正向,點擊遊戲配備需求,出現遊戲配備需求彈窗,test_game_requirements_popup,,,
正向,出現遊戲配備需求彈窗(關閉),可正常關閉,test_game_requirements_popup_close,,,
正向,出現遊戲配備需求彈窗(文案內容),內容正常,test_game_requirements_popup_content,,,
※楓葉會員,,,test_content_pc_member.py,,,
正向,點擊修改第二組密碼,"跳轉至修改第二組密碼頁面
https://tw-event.beanfun.com/MapleStory/SetSecondPassword/index.aspx",test_modify_second_password_redirect,,,
正向,點擊客服中心,"外導連結至
https://csp.tw.beanfun.com/",test_customer_service_redirect,,,
正向,點擊外掛檢舉專區,"外導連結至
https://event.beanfun.com/customerservice/PluginReporting/PluginBoard/PluginBoardJQ.aspx?_gl=1*iu51ze*_ga*MTkxNTc2NDk4OC4xNjkyOTQ4MjQ0*_ga_CVWC85042K*MTY5ODM5NjExMy41NS4xLjE2OTgzOTY5MDYuNjAuMC4w",test_plugin_report_redirect,,,
正向,點擊道具兌換專區,"外導連結至
https://tw-event.beanfun.com/maplestory/ItemToGame/Item_List.aspx",test_item_exchange_redirect,,,
正向,點擊遊戲帳號申請,"外導連結至
https://bfweb.beanfun.com/Register/JoinBeanfunSingup?isbfApp=0&reUrl=https%3A%2F%2Ftw.beanfun.com",test_game_account_register_redirect,,,
正向,點擊序號查詢,進入共登頁,test_serial_number_query_redirect,,,
正向,序號查詢-選擇活動(登入後),下拉活動,test_serial_number_query_event_dropdown,,,
正向,序號查詢-送出查詢(登入後),功能正常,test_serial_number_query_submit,,,
正向,請選擇活動-點擊確定,功能正常,test_serial_number_query_confirm,,,
正向,點擊遊戲規章,跳轉至規章綜合頁面,test_game_rules_redirect,,,
正向,新楓之谷LOGO,回到首頁,test_maple_story_logo_back_to_home,,,
正向,點擊各規章名稱,錨點至相關規章,test_rules_anchor_to_section,,,
正向,遊戲管理規則 (文案),文案內容正常,test_game_rules_content_display,,,
正向,遊戲管理規則(TOP),可回到最上方,test_game_rules_back_to_top,,,
正向,遊戲帳號鎖定查詢方法(文案),文案內容正常,test_account_lock_query_content_display,,,
正向,遊戲帳號鎖定查詢方法(客服中心),連結正常,test_account_lock_query_customer_service_redirect,,,
正向,遊戲帳號鎖定查詢方法(TOP),可回到最上方,test_account_lock_query_back_to_top,,,
正向,GASH密碼／遊戲密碼查詢方法 (文案),文案內容正常,test_password_query_content_display,,,
正向,GASH密碼／遊戲密碼查詢方法(下載傳真申請表格),連結正常,test_password_query_fax_download_redirect,,,
正向,GASH密碼／遊戲密碼查詢方法(客服中心),連結正常,test_password_query_customer_service_redirect,,,
正向,GASH密碼／遊戲密碼查詢方法 (遊戲橘子客服信箱&數位身分驗證連結),連結正常,test_password_query_gamania_redirect,,,
正向,GASH密碼／遊戲密碼查詢方法(TOP),可回到最上方,test_password_query_back_to_top,,,
正向,樂豆點使用方法 (文案),文案內容正常,test_bean_point_usage_content_display,,,
正向,樂豆點使用方法 (TOP),可回到最上方,test_bean_point_usage_back_to_top,,,
正向,伺服器臨時維護補償辦法(文案),文案內容正常,test_server_maintenance_content_display,,,
正向,伺服器臨時維護補償辦法(客服中心),連結正常,test_server_maintenance_customer_service_redirect,,,
正向,伺服器臨時維護補償辦法 (TOP),可回到最上方,test_server_maintenance_back_to_top,,,
正向,商品序號異常補償辦法(文案),文案內容正常,test_serial_issue_content_display,,,
正向,商品序號異常補償辦法(遊戲橘子客服信箱&數位身分驗證),連結正常,test_serial_issue_gamania_redirect,,,
正向,商品序號異常補償辦法(TOP),可回到最上方,test_serial_issue_back_to_top,,,
正向,服務合約書,跳轉至[新楓之谷]網路連線遊戲服務定型化契約頁面,test_service_contract_redirect,,,
正向,服務合約書(文案),,test_service_contract_content_display,,,
正向,服務合約書(遊戲管理規則),跳轉至遊戲管理規則,test_service_contract_game_rules_redirect,,,
正向,點擊處罰名單,進入處罰名單查詢頁,test_punishment_list_redirect,,,
正向,處罰名單查詢頁(新楓之谷LOGO),跳轉回首頁,test_punishment_list_logo_back_to_home,,,
正向,文案顯示,內容正確,test_punishment_list_content_display,,,
正向,日期,年月日可正常選取,test_punishment_list_date_selectable,,,
正向,伺服器,可下拉選取,test_punishment_list_server_dropdown,,,
正向,點擊查詢,可正常送出生成查詢結果,test_punishment_list_query_submit,,,
正向,處罰名單,查詢結果顯示正確,test_punishment_list_result_display,,,
※香港專區,,,test_content_pc_hk.py,,,
正向,點擊按鈕,"可引導至
https://bfweb.hk.beanfun.com/",test_hk_button_redirect,,,
手機,,,,,,
,,,test_content_mobile.py,,,
,手機版無Content頁面,,test_mobile_no_content_page,,,
Footer,,,,,,
PC,,,test_footer_pc.py,,,
正向,文字排版,顯示正常,test_footer_text_layout_normal,,,
正向,icon點擊,功能正常,test_footer_icon_click_normal,,,
正向,點擊gamania icon,跳轉至橘子集團頁面,test_gamania_icon_redirect,,,
正向,點擊NEXON icon,跳轉至Nexon官方頁面,test_nexon_icon_redirect,,,
正向,點擊遊戲橘子 icon,跳轉至遊戲橘子官網,test_game_gamania_icon_redirect,,,
正向,點擊gamania LOGO,跳轉至橘子集團頁面,test_gamania_logo_redirect,,,
手機,,,test_footer_mobile.py,,,
正向,文字排版,顯示正常,test_mobile_footer_text_layout_normal,,,
共登bar,,,test_login_bar.py,,,
正向,點擊橘子圖標,跳轉至橘子官網,test_gamania_icon_redirect_to_official,,,
正向,點擊快速啟動(未登入),引導至共登頁面,test_quick_start_not_logged_in_redirect,,,
正向,點擊快速啟動(已登入),展開最近遊戲列表,test_quick_start_logged_in_game_list,,,
正向,最近遊戲列表(選擇某遊戲),引導進入官網遊戲館開啟該遊戲,test_recent_game_list_select_redirect,,,
正向,點擊我的錢包(未登入),引導至共登頁登入,test_my_wallet_not_logged_in_redirect,,,
正向,點擊申請帳號(未登入),跳轉至橘子官網註冊遊戲橘子帳號頁,test_register_account_not_logged_in_redirect,,,
正向,點擊會員中心(未登入),引導至共登頁登入,test_member_center_not_logged_in_redirect,,,
正向,點擊會員中心(已登入),展開會員資料頁,test_member_center_logged_in_expand,,,
正向,當前剩餘點數,顯示正常,test_remaining_points_display_normal,,,
正向,點擊儲值與購點,正常顯示儲值頁面,test_top_up_page_display_normal,,,
正向,點擊更新點數,正常更新,test_update_points_normal,,,
正向,點擊登入按鈕(登入前),引導至共登頁登入,test_login_button_redirect,,,
正向,登入按鈕(登入後),更改為登出按鈕,test_login_button_change_to_logout,,,
正向,點擊登出按鈕,可正常登出,test_logout_button_normal,,,
正向,chatbot浮水印,於右下角跟隨,test_chatbot_watermark_follow,,,
正向,chatbot浮水印(hover),出現提示語句,test_chatbot_watermark_hover_text,,,
正向,點擊chatbot浮水印,成功跳轉至客服小幫手頁面,test_chatbot_watermark_click_redirect,,,
異常操作,,,,,,
PC,,,test_abnormal_pc.py,,,
負向,連結非登入流程頁面,不可直接連結,test_non_login_link_not_directly_accessible,,,
負向,網址後加上危險字元(?<script>),不可造成錯誤,test_dangerous_url_no_error,,,
手機,,,test_abnormal_mobile.py,,,
負向,連結非登入流程頁面,不可直接連結,test_mobile_non_login_link_not_directly_accessible,,,
負向,網址後加上危險字元(?<script>),不可造成錯誤,test_mobile_dangerous_url_no_error,,,
